filename,total_actions,duration_seconds,actions_per_second,induction_actions,session_type,success_rate,has_induction,induction_events
submission_349980734.json,10986,1092681.306,0.010054166699544505,1249,theorem_focused,0.9342948717948718,True,1249
submission_349549369.json,10847,1195814.988,0.009070801176477645,1061,theorem_focused,0.9886792452830189,True,1061
submission_348406434.json,20929,1147085.191,0.01824537546488123,1988,theorem_focused,0.46227364185110664,True,1988
submission_350046114.json,4092,79626.2,0.05139012033727593,1235,theorem_focused,0.9578947368421052,True,1235
submission_349144175.json,2645,685680.762,0.003857480254054437,772,theorem_focused,0.9727979274611399,True,772
submission_349944161.json,23169,1299083.885,0.017834875998019174,827,implementation_focused,0.9032648125755743,True,827
submission_348781861.json,6280,15204.631,0.41303205582562313,4574,theorem_focused,0.8441189331001312,True,4574
submission_349856151.json,11294,1538622.228,0.007340333315397807,828,theorem_focused,0.8490338164251208,True,828
submission_349265175.json,11073,1049840.917,0.01054731228388577,854,theorem_focused,0.9683470105509965,True,854
submission_348627900.json,10393,708110.702,0.014677083640518116,2345,theorem_focused,0.9982942430703625,True,2345
